min costs,ALL shortest paths min costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,0,45,31.6,80.2,18.7,66.7,31.6,41.2,16.1,25.7,80.4,55.8,2.7,51.2,59.7,36.5,48,5,11.6,50.8,13.7,13.8,65.3,13.2,50.8,8.6,2.6,35.8,78.8,7.5,35.8,68.4,58.4,55.5,62,99.8,7.5,49.9,3.8,34.3,37.7,10.5,33.9,9,81.9,3.2,84.9,7.2,2.7,95.5,35.4,15.2,52.8,89.8,9.8,1.2,23.5,46.6,1.2,61.9,46.4,2.1,38.8,27.1,29.2,55,42.9,100.9,70.6,61.2,7.3,43.8,26.5,67,75.9,43.5,3.2,52.9,52.3,85.8,1.9,64.5,45.4,25.2,2,16.9,1.4,91.9,4.9,19.9,21.4,40.4,51.1,9.1,25.4,40.5,7.2,19.5,11.4,23.8,48.4,17.6,69.7,74,50.1,57.9,15.1,52.3,38,3.2,59.8,63.1,51.6,3.9,13.2,21.7,15,26.2,16.9,72.5,32.2,53.6,21.7,68.1,51.9,29.8,32.6,21.6,4.3,62.9,14.9,61.8,69.4,60.8,59.7,26.7,12.9,19.5,27.1,42.9,67.5,72.4,71.4,49.2,73.7,60.5,42.6,80.8,8.3,17,80.5,23,70.1,50,17.1,19.1,15.6,40.6,66.1,30.5,28.7,26.1,47.9,33.6,56.2,89.1,31.8,63.1,23.5,6.5,8.5,58.2,22.6,75.2,12.5,3.1,29.6,12.6,29.9,10.8,85.4,47.6,17.8,16,27.8,61.8,20.4,26.3,27.1,18.6,69.3,24,42,3.3,31.5,2.6,57.6,25.8,1,73.2
2,0,0,40.1,30.5,72.7,1,61.9,2.1,16.1,43.6,83.1,1.9,71.1,51.2,41.9,45.2,98.6,5,11.6,50.8,13.7,12.6,1.2,13.2,50.8,8.6,2.6,47.6,78.8,45,35.8,68.4,68,15,62,99.8,7.5,95.9,3.8,28.7,18.5,10.5,61,72.5,81.9,3.2,84.9,11.4,2.7,33.7,35.4,15.2,52.8,89.8,9.8,1.2,23.5,7.2,8.5,7.5,80.2,26.3,81.3,27.1,21.7,29.8,95,93.4,42.1,61.2,7.3,48.7,26.5,67,28.2,53.9,59.6,52.9,52.3,73.3,2.7,64.5,45.4,25.2,2,31.9,15.4,70.2,4.9,19.9,21.4,43.5,2.6,42.9,25.4,40.5,5.1,19.5,31.6,45.5,48.4,17.6,10.3,87.7,21,57.9,15.1,52.3,38,3.2,59.8,38.7,51.6,3.9,13.2,35.8,16.3,26.2,16.9,72.5,32.2,53.6,21.7,68.1,35.8,16.9,92.3,55,76,62.9,14.9,61.8,67.3,17.1,40.7,26.7,12.9,19.5,27.1,93.5,4.3,72.4,71.4,49.2,70.9,60.5,42.6,80.8,8.3,27.8,80.5,23,3.2,50,98.4,13.3,15.6,40.6,66.1,93.1,18.5,26.1,63.1,55.5,80.7,97,32,21.7,23.5,6.5,8.5,58.2,22.6,75.2,12.5,3.1,17.5,43.8,29.9,13.8,17,68.2,17.8,16,1.4,61.8,20.4,59.9,27.1,18.6,64.7,24,48.9,3.3,84.4,86.5,57.6,25.8,22.4,73.2
3,0,0,0,55,18.7,66.7,31.6,59.8,16.1,25.7,25.2,1.9,21.7,51.2,72.7,36.5,48,31.5,23,50.8,13.7,3.8,1.2,31.1,50.8,8.6,2.6,29.6,78.8,80.7,35.8,68.4,100.8,55.5,62,83.1,7.5,49.9,40.1,34.3,18.5,10.5,33.9,64.1,81.9,3.2,84.9,11.4,2.7,33.7,35.4,15.2,52.8,89.8,9.8,1.2,23.5,7.2,83.6,61.9,67.3,2.1,38.8,31.6,29.2,35.8,42.9,100.9,31.9,61.2,83,43.8,26.5,67,28.2,43.5,3.2,76.5,52.3,73.3,2.7,64.5,45.4,96.8,2,16.9,15.4,91.9,4.9,19.9,7.3,40.4,37.1,9.1,25.4,40.5,5.1,19.5,27.1,41.8,77.6,17.6,10.3,74,21,57.9,15.1,52.3,38,3.2,59.8,63.1,51.6,3.9,13.2,35.8,16.3,26.2,16.9,44.5,32.2,53.6,21.7,68.1,51.9,22.4,92.3,55,4.3,62.9,51.1,61.8,69.4,17.1,40.7,26.7,43.6,19.5,27.1,42.9,67.5,60.4,71.4,57.2,70.9,60.5,42.6,80.8,8.3,27.8,80.5,5,70.1,50,98.4,13.3,15.6,40.6,66.1,11.6,28.7,26.1,47.9,33.6,10.8,97,41.9,21.7,23.5,6.5,8.5,58.2,22.6,75.2,12.5,3.1,17.5,12.6,29.9,13.8,17,47.6,17.8,9,1.4,34.2,81,26.3,27.1,18.6,29.6,24,42,3.3,31.5,2.6,57.6,25.8,1,24.5
4,0,0,0,0,72.7,35.8,31.6,41.2,16.1,5.1,83.1,55.8,2.7,50.4,41.9,36.5,49.8,5,11.6,50.8,13.7,12.6,50.1,31.1,46.9,42,2.6,47.6,78.8,7.5,35.8,68.4,68,93.5,62,99.8,7.5,95.9,3.8,28.7,18.5,10.5,33.9,9,81.9,3.2,84.9,7.2,2.7,33.7,86.1,86.2,52.8,89.8,15.2,25.7,23.5,46.6,1.2,48.4,46.4,2.1,38.8,27.1,29.2,55,4.9,93.4,31.9,61.2,81,15.4,42.5,19.1,75.9,16.3,3.2,76.5,54.1,85.8,1.9,64.5,55.3,25.2,2,16.9,1.4,77.5,65.7,19.9,7.3,40.4,37.1,9.1,25.4,40.5,7.2,1.2,11.4,23.8,32,26.5,10.3,43.9,21,37.7,15.1,52.3,8.5,3.2,59.8,63.1,51.6,3.9,13.2,35.8,15,26.2,16.9,44.5,32.2,53.6,21.7,68.1,51.9,29.8,32.6,21.6,13.2,62.9,61.4,61.8,67.3,61.4,40.7,26.7,12.9,72.3,27.1,96.8,4.3,72.4,82.4,49.2,70.9,17.6,42.6,80.8,8.3,17,80.5,23,70.1,50,98.4,13.3,15.6,88,66.1,30.5,18.5,26.1,47.9,18.6,78.8,97,31.8,21.7,23.5,6.5,8.5,58.2,22.6,98.5,12.5,3.1,29.6,43.8,29.9,10.8,26,63.8,17.8,16,27.8,61.8,20.4,26.3,27.1,31.5,29.6,9.8,48.9,3.3,31.5,2.6,101,25.8,1,24.5
5,0,0,0,0,0,49.8,31.6,45.2,63.1,93.8,100.5,1.9,21.7,51.2,59.7,36.5,48,5,23,98.6,13.7,3.8,1.2,13.2,37.1,8.6,2.6,29.6,78.8,7.5,35.8,85.4,58.4,55.5,62,83.1,7.5,49.9,40.1,34.3,37.7,10.5,61,9,81.9,3.2,84.9,11.4,2.7,95.5,86.1,59.4,52.8,89.8,9.8,1.2,23.5,7.2,83.6,61.9,67.3,2.1,38.8,23.5,29.2,61.4,42.9,100.9,84.4,61.2,7.3,43.8,42.5,67,28.2,16.3,3.2,74.9,54.1,60.3,2.7,64.5,55.3,96.8,2,16.9,15.4,70.2,4.9,19.9,21.4,40.4,51.1,9.1,25.4,33.7,5.1,19.5,27.1,45.5,48.4,26.5,10.3,74,21,57.9,15.1,52.3,38,3.2,59.8,63.1,51.6,3.9,13.2,21.7,15,26.2,16.9,44.5,55.8,67.1,21.7,68.1,76.8,22.4,32.6,21.6,4.3,62.9,14.9,61.8,67.3,61.4,40.7,26.7,12.9,19.5,27.1,42.9,67.5,72.4,71.4,49.2,73.7,60.5,42.6,80.8,8.3,18.5,80.5,72.7,70.1,18.5,17.1,13.3,15.6,40.6,66.1,11.6,28.7,26.1,47.9,68.4,10.8,97,98.7,71.1,18.7,6.5,8.5,58.2,22.6,98.5,12.5,3.1,17.5,12.6,29.9,33.6,26,47.6,17.8,16,1.4,31.1,20.4,26.3,91.2,72.7,66.1,65.9,48.9,3.3,31.5,2.6,57.6,25.8,1,85.7
6,0,0,0,0,0,0,31.6,59.8,16.1,25.7,25.2,1.9,21.7,50.4,72.7,36.5,49.8,16,23,98.6,13.7,3.8,50.1,31.1,46.9,21.4,2.6,35.8,78.6,7.5,35.8,68.4,100.8,55.5,89,83.1,7.5,43.9,19.5,28.7,18.5,10.5,21.6,64.1,81.9,3.2,93.6,11.4,2.7,33.7,35.4,59.4,52.8,89.8,9.8,1.2,23.5,7.2,1.2,52.9,67.3,2.1,38.8,31.6,29.2,35.8,42.9,100.9,31.9,61.2,24,43.8,42.5,19.1,28.2,42.1,3.2,76.5,98.5,60.3,2.7,64.5,55.3,96.8,2,16.9,1.4,91.9,4.9,19.9,7.3,40.4,37.1,9.1,25.4,40.5,5.1,19.5,27.1,69.7,77.6,26.5,10.3,87.7,21,37.7,15.1,52.3,8.5,3.2,59.8,63.1,51.6,3.9,13.2,72.5,16.3,45.4,16.9,44.5,32.2,92.5,21.7,68.1,65.3,22.4,32.6,55,13.2,62.9,51.1,61.8,67.3,17.1,40.7,26.7,12.9,72.3,27.1,93.5,4.3,72.4,82.4,49.2,70.9,60.5,42.6,80.8,8.3,17,80.5,5,70.1,50,98.4,13.3,15.6,88,66.1,30.5,18.5,83.7,23.8,18.6,10.8,97,31.8,21.7,48,6.5,8.5,58.2,22.6,98.5,12.5,3.1,17.5,12.6,29.9,13.8,61.8,63.8,17.8,9,27.8,34.2,20.4,26.3,70.6,14.9,64.7,78.5,48.9,3.3,84.4,2.6,57.6,51.1,1,24.5
7,0,0,0,0,0,0,0,41.2,10.3,5.1,80.4,55.8,2.7,50.4,59.7,45.2,48,5,48.9,50.8,13.7,59.8,79.9,31.1,50.8,8.6,2.6,35.8,78.8,7.5,41.8,68.4,58.4,12.9,62,83.1,7.5,49.9,3.8,34.3,18.5,10.5,33.9,59.4,81.9,3.2,84.9,11.4,2.7,95.5,29.6,15.2,52.8,89.8,9.8,25.7,23.5,46.6,1.2,61.9,46.4,2.1,38.8,27.1,29.2,55,4.9,93.4,42.1,61.2,7.3,43.8,42.5,19.1,75.9,53.9,59.6,52.9,52.3,85.8,1.9,64.5,45.4,25.2,2,16.9,1.4,70.2,65.7,19.9,21.4,40.4,66.4,9.1,25.4,78.6,7.2,1.2,31.6,45.5,48.4,17.6,69.7,43.9,21,57.9,15.1,52.3,38,3.2,59.8,63.1,51.6,3.9,13.2,21.7,15,26.2,16.9,44.5,32.2,53.6,21.7,68.1,51.9,22.4,32.6,21.6,4.3,62.9,14.9,61.8,67.3,61.4,59.7,40.7,43.6,19.5,67.1,42.9,67.5,72.4,71.4,57.2,100,60.5,42.6,80.8,8.3,18.5,80.5,23,3.2,50,17.1,13.3,15.6,40.6,66.1,11.6,28.7,26.1,23.8,33.6,56.2,97,32,63.1,23.5,6.5,8.5,58.2,22.6,91.8,12.5,3.1,17.5,12.6,29.9,13.8,85.4,68.2,17.8,16,27.8,78.5,81,26.3,27.1,31.5,69.3,24,42,3.3,31.5,2.6,57.6,25.8,1,73.2
8,0,0,0,0,0,0,0,0,10.3,25.7,80.4,27.1,2.7,51.2,72.7,45.2,48,31.5,48.9,50.8,13.7,59.8,1.2,66.2,50.8,8.6,2.6,29.6,68.7,59.9,35.8,68.4,100.8,55.5,62,99.8,7.5,77.5,3.8,95.7,37.7,10.5,33.9,9,81.9,3.2,84.9,11.4,2.7,33.7,35.4,15.2,52.8,89.8,9.8,1.2,23.5,46.6,8.5,7.5,83.7,2.1,38.8,36.5,29.2,35.8,4.9,100.9,70.6,61.2,7.3,43.8,26.5,67,28.2,43.5,59.6,52.9,52.3,85.8,1.9,64.5,45.4,25.2,2,16.9,15.4,70.2,65.7,19.9,21.4,40.4,37.1,9.1,25.4,40.5,5.1,19.5,31.6,45.5,48.4,17.6,69.7,43.9,50.1,57.9,15.1,52.3,38,3.2,59.8,38.7,51.6,3.9,13.2,35.8,16.3,26.2,16.9,44.5,32.2,53.6,21.7,68.1,51.9,22.4,92.3,55,13.2,62.9,14.9,61.8,67.3,60.8,59.7,40.7,43.6,19.5,89.7,42.9,67.5,60.4,71.4,57.2,100,60.5,42.6,80.8,8.3,18.5,80.5,5,3.2,50,17.1,13.3,15.6,40.6,66.1,11.6,28.7,26.1,23.8,33.6,10.8,89.1,32,21.7,23.5,6.5,8.5,58.2,22.6,75.2,12.5,3.1,17.5,12.6,29.9,13.8,17,68.2,17.8,16,1.4,78.5,81,26.3,27.1,18.6,69.3,24,42,3.3,31.5,2.6,57.6,25.8,72.3,24.5
9,0,0,0,0,0,0,0,0,0,67.4,80.4,27.1,2.7,50.4,41.9,65.9,49.8,16,23,76,13.7,3.8,66.2,31.1,46.9,45.5,9.1,47.6,59.7,7.5,41.8,68.4,73.2,12.9,89,83.1,7.5,49.9,19.5,28.7,18.5,10.5,21.6,9,81.9,3.2,84.9,7.2,2.7,33.7,86.1,15.2,52.8,89.8,9.8,1.2,23.5,7.2,1.2,52.9,46.4,2.1,38.8,31.6,29.2,35.8,42.9,100.9,31.9,61.2,24,15.4,42.5,19.1,28.2,42.1,3.2,76.5,95.4,85.8,1.9,64.5,55.3,96.8,2,16.9,1.4,70.2,4.9,47.9,7.3,40.4,37.1,67.5,25.4,40.5,5.1,19.5,31.6,69.7,32,26.5,10.3,87.7,21,37.7,15.1,52.3,8.5,3.2,59.8,63.1,51.6,3.9,13.2,72.5,15,45.4,16.9,44.5,32.2,92.5,34.3,68.1,65.3,22.4,32.6,55,13.2,62.9,51.1,61.8,67.3,60.8,40.7,26.7,80.2,17.8,57.9,42.9,4.3,60.4,82.4,49.2,70.9,17.6,42.6,80.8,8.3,17,80.5,5,70.1,50,17.1,13.3,15.6,88,66.1,11.6,18.5,83.7,23.8,18.6,10.8,97,31.8,21.7,2.6,6.5,8.5,26.2,22.6,75.2,12.5,3.1,17.5,12.6,29.9,13.8,61.8,63.8,51.2,63.1,27.8,16.1,20.4,26.1,27.1,31.5,64.7,78.5,48.9,3.3,84.4,2.6,101,51.1,1,24.5
